class_id,name
0,apple pie
1,baby back ribs
2,beef tartare
3,beignets
4,bruschetta
5,cannoli
6,carrot cake
7,ceviche
8,cheesecake
9,cheese plate
10,chicken curry
11,chicken wings
12,chocolate cake
13,chocolate mousse
14,cup cakes
15,donuts
16,dumplings
17,edamame
18,filet mignon
19,fish and chips
20,french onion soup
21,french toast
22,fried calamari
23,garlic bread
24,guacamole
25,canterbury bells
26,sweet william
27,carnation
28,garden phlox
29,love in the mist
30,mexican aster
31,alpine sea holly
32,ruby lipped cattleya
33,cape flower
34,great masterwort
35,siam tulip
36,sweet pea
37,lenten rose
38,barbeton daisy
39,daffodil
40,sword lily
41,poinsettia
42,bolero deep blue
43,wallflower
44,marigold
45,buttercup
46,oxeye daisy
47,english marigold
48,common dandelion
49,petunia
50,cadillac cts v sedan 2012
51,cadillac srx suv 2012
52,cadillac escalade ext crew cab 2007
53,chevrolet silverado 1500 hybrid crew cab 2012
54,chevrolet corvette convertible 2012
55,chevrolet corvette zr1 2012
56,chevrolet corvette ron fellows edition z06 2007
57,chevrolet traverse suv 2012
58,chevrolet camaro convertible 2012
59,chevrolet hhr ss 2010
60,chevrolet impala sedan 2007
61,chevrolet tahoe hybrid suv 2012
62,chevrolet sonic sedan 2012
63,chevrolet express cargo van 2007
64,chevrolet avalanche crew cab 2012
65,chevrolet cobalt ss 2010
66,chevrolet malibu hybrid sedan 2010
67,chevrolet trailblazer ss 2009
68,chevrolet silverado 2500hd regular cab 2012
69,chevrolet silverado 1500 classic extended cab 2007
70,chevrolet express van 2007
71,chevrolet monte carlo coupe 2007
72,chevrolet malibu sedan 2007
73,chevrolet silverado 1500 extended cab 2012
74,chevrolet silverado 1500 regular cab 2012
75,Falcon 900
76,Fokker 100
77,Fokker 50
78,Fokker 70
79,Global Express
80,Gulfstream IV
81,Gulfstream V
82,Hawk T1
83,Il 76
84,L 1011
85,MD 11
86,MD 80
87,MD 87
88,MD 90
89,Metroliner
90,Model B200
91,PA 28
92,SR 20
93,Saab 2000
94,Saab 340
95,Spitfire
96,Tornado
97,Tu 134
98,Tu 154
99,Yak 42
